Month,AirQualityStation,average_no2,index
2018-04,STA.10.ILL1,0.18285491973607038,29
2018-05,STA.10.ILL1,0.17424096668800002,29
2018-06,STA.10.ILL1,0.15101189459970887,29
2018-07,STA.10.ILL1,0.15089250783098593,29
2018-08,STA.10.ILL1,0.1679930320614035,29
2018-09,STA.10.ILL1,0.18184314679245284,29
2018-10,STA.10.ILL1,0.21946700148876402,29
2018-11,STA.10.ILL1,0.30248322825688073,29
2018-12,STA.10.ILL1,0.30287651044624747,29
2018-01,STA.10.VOR1,0.19301809247191012,31
2018-02,STA.10.VOR1,0.2685879050778816,31
2018-03,STA.10.VOR1,0.289660156943662,31
2018-04,STA.10.VOR1,0.1672011012173913,31
2018-05,STA.10.VOR1,0.1499017960356653,31
2018-06,STA.10.VOR1,0.12799347052325583,31
2018-07,STA.10.VOR1,0.13212462369382022,31
2018-08,STA.10.VOR1,0.14732821233566434,31
2018-09,STA.10.VOR1,0.15972810441520469,31
2018-10,STA.10.VOR1,0.15523709732016924,31
2018-11,STA.10.VOR1,0.1773237503211679,31
2018-12,STA.10.VOR1,0.16738753019690578,31
2018-01,STA-BA0029A,0.7194648176043069,32
2018-02,STA-BA0029A,0.7737983659346642,32
2018-03,STA-BA0029A,0.6598060643554953,32
2018-04,STA-BA0029A,0.2912772935600579,32
2018-05,STA-BA0029A,0.215688323924581,32
2018-06,STA-BA0029A,0.207054075,32
2018-07,STA-BA0029A,0.21651471232819072,32
2018-08,STA-BA0029A,0.22255228471086036,32
2018-09,STA-BA0029A,0.25637616192792795,32
2018-10,STA-BA0029A,0.37013138005633806,32
2018-11,STA-BA0029A,0.5495570200816327,32
2018-12,STA-BA0029A,1.0572396347151898,32
2018-01,STA-BA0031A,1.8425977499101125,33
2018-02,STA-BA0031A,1.2805372004464286,33
2018-03,STA-BA0031A,1.3722489831935047,33
2018-04,STA-BA0031A,0.7910408158503401,33
2018-05,STA-BA0031A,0.6311374473913044,33
2018-06,STA-BA0031A,0.6675184048619632,33
2018-07,STA-BA0031A,0.3679190340909091,33
2018-08,STA-BA0031A,0.3864206989247312,33
2018-09,STA-BA0031A,0.4325527777777778,33
2018-10,STA-BA0031A,0.5084516129032258,33
2018-11,STA-BA0031A,0.8114444437865497,33
2018-12,STA-BA0031A,2.013282635141319,33
2018-01,STA-BA0045A,1.9256236536155915,36
2018-02,STA-BA0045A,1.0626197589970061,36
2018-03,STA-BA0045A,0.9412621937347562,36
2018-04,STA-BA0045A,0.5798952227426811,36
2018-05,STA-BA0045A,0.34862551995839114,36
2018-06,STA-BA0045A,0.24184357537709497,36
2018-07,STA-BA0045A,0.2586666666393443,36
2018-08,STA-BA0045A,0.38838987675786596,36
2018-09,STA-BA0045A,0.5570499996666667,36
2018-10,STA-BA0045A,0.9316114118750001,36
2018-11,STA-BA0045A,1.4354819475451264,36
2018-12,STA-BA0045A,2.362086134602961,36
2018-01,STA-BA0047A,1.0907994569512196,37
2018-02,STA-BA0047A,0.6686425334841629,37
2018-03,STA-BA0047A,0.7132301475100942,37
2018-04,STA-BA0047A,0.28848611106944444,37
2018-05,STA-BA0047A,0.17783673469387756,37
2018-06,STA-BA0047A,0.183115438108484,37
2018-07,STA-BA0047A,0.20774193548387096,37
2018-08,STA-BA0047A,0.18698630136986302,37
2018-09,STA-BA0047A,0.25234722220833333,37
2018-10,STA-BA0047A,0.4572874492712551,37
2018-11,STA-BA0047A,0.6490789470175439,37
2018-12,STA-BA0047A,1.1264064588425302,37
2018-01,STA-BA0048A,1.4470638281276595,38
2018-02,STA-BA0048A,1.173442365716511,38
2018-03,STA-BA0048A,0.968984483977433,38
2018-04,STA-BA0048A,0.41779069750000003,38
2018-05,STA-BA0048A,0.3321769662780899,38
