Month,AirQualityStation,average_no2,index
2018-02,STA.03.0502,22.013412816691503,25
2018-03,STA.03.0502,21.288798920377868,25
2018-04,STA.03.0502,18.81458333333333,25
2018-05,STA.03.0502,18.704851752021565,25
2018-06,STA.03.0502,17.564922480620154,25
2018-07,STA.03.0502,16.856854838709676,25
2018-08,STA.03.0502,17.454973118279568,25
2018-09,STA.03.0502,14.465229485396383,25
2018-10,STA.03.0502,22.607526881720432,25
2018-11,STA.03.0502,19.581363004172463,25
2018-12,STA.03.0502,10.313844086021506,25
2018-01,STA.03.0599,23.185733512786,26
2018-02,STA.03.0599,32.917410714285715,26
2018-03,STA.03.0599,33.160377358490564,26
2018-04,STA.03.0599,25.105153203342617,26
2018-05,STA.03.0599,23.045026881720432,26
2018-06,STA.03.0599,18.99364406779661,26
2018-07,STA.03.0599,20.08467741935484,26
2018-08,STA.03.0599,18.781965006729475,26
2018-09,STA.03.0599,14.513194444444444,26
2018-10,STA.03.0599,27.140350877192983,26
2018-11,STA.03.0599,30.141364902506965,26
2018-12,STA.03.0599,21.27456258411844,26
2018-01,STA.03.0902,19.284750337381915,29
2018-02,STA.03.0902,31.004470938897168,29
2018-03,STA.03.0902,30.38072776280324,29
2018-04,STA.03.0902,25.032033426183844,29
2018-05,STA.03.0902,19.17271505376344,29
2018-06,STA.03.0902,16.541782729805014,29
2018-07,STA.03.0902,17.112685560053983,29
2018-08,STA.03.0902,18.57728494623656,29
2018-09,STA.03.0902,18.55997210599721,29
2018-10,STA.03.0902,29.08941877794337,29
2018-11,STA.03.0902,29.78125,29
2018-12,STA.03.0902,21.72911051212938,29
2018-01,STA.03.1401,17.19553450608931,31
2018-02,STA.03.1401,26.533482142857142,31
2018-03,STA.03.1401,27.181940700808624,31
2018-04,STA.03.1401,20.50865800865801,31
2018-05,STA.03.1401,15.861338797814208,31
2018-06,STA.03.1401,13.684767277856135,31
2018-07,STA.03.1401,15.149193548387096,31
2018-08,STA.03.1401,16.034274193548388,31
2018-09,STA.03.1401,15.022222222222222,31
2018-10,STA.03.1401,26.03768506056528,31
2018-11,STA.03.1401,27.95658263305322,31
2018-12,STA.03.1401,20.77964959568733,31
2018-01,STA.03.1406,19.874327956989248,32
2018-02,STA.03.1406,30.77537313432836,32
2018-03,STA.03.1406,29.72615803814714,32
2018-04,STA.03.1406,21.67130919220056,32
2018-05,STA.03.1406,20.315114709851557,32
2018-06,STA.03.1406,16.856944444444444,32
2018-07,STA.03.1406,17.757412398921833,32
2018-08,STA.03.1406,19.577597840755736,32
2018-09,STA.03.1406,17.31432545201669,32
2018-10,STA.03.1406,30.092318059299192,32
2018-11,STA.03.1406,29.35744089012517,32
2018-12,STA.03.1406,20.954116059379217,32
2018-01,STA.03.1413,18.331989247311828,33
2018-02,STA.03.1413,27.556716417910447,33
2018-03,STA.03.1413,27.234143049932523,33
2018-04,STA.03.1413,23.949305555555554,33
2018-05,STA.03.1413,21.017473118279568,33
2018-06,STA.03.1413,16.200418994413408,33
2018-07,STA.03.1413,15.532930107526882,33
2018-08,STA.03.1413,17.448924731182796,33
2018-09,STA.03.1413,17.10625,33
2018-10,STA.03.1413,30.829284750337383,33
2018-11,STA.03.1413,27.62708333333333,33
2018-12,STA.03.1413,19.994616419919247,33
2018-01,STA.03.1703,19.243951612903224,34
2018-02,STA.03.1703,29.390298507462685,34
2018-03,STA.03.1703,31.061155913978496,34
2018-04,STA.03.1703,24.750694444444445,34
2018-05,STA.03.1703,20.81940700808625,34
2018-06,STA.03.1703,15.990934449093444,34
2018-07,STA.03.1703,17.424137931034483,34
2018-08,STA.03.1703,18.855795148247974,34
2018-09,STA.03.1703,14.32638888888889,34
2018-10,STA.03.1703,24.58613728129206,34
2018-11,STA.03.1703,25.49584717607973,34
2018-12,STA.03.1703,19.755390835579515,34
2018-01,STA.03.1901,20.58882907133244,35
2018-02,STA.03.1901,31.311755952380956,35
2018-03,STA.03.1901,30.364737550471062,35
2018-04,STA.03.1901,21.12847222222222,35
2018-05,STA.03.1901,22.33580080753701,35
2018-06,STA.03.1901,15.949305555555556,35
2018-07,STA.03.1901,18.052419354838708,35
2018-08,STA.03.1901,17.117250673854446,35
2018-09,STA.03.1901,11.528472222222222,35
2018-10,STA.03.1901,22.246278755074425,35
2018-11,STA.03.1901,28.07649513212796,35
2018-12,STA.03.1901,18.24529569892473,35
2018-01,STA.03.1904,17.142183288409704,36
2018-02,STA.03.1904,29.779017857142858,36
2018-03,STA.03.1904,28.200134770889488,36
2018-04,STA.03.1904,20.73263888888889,36
2018-05,STA.03.1904,22.01682368775236,36
2018-06,STA.03.1904,18.938194444444445,36
2018-07,STA.03.1904,19.090174966352624,36
2018-08,STA.03.1904,15.313261163734778,36
2018-09,STA.03.1904,13.454166666666667,36
2018-10,STA.03.1904,24.391655450874836,36
2018-11,STA.03.1904,23.870473537604457,36
2018-12,STA.03.1904,16.32728494623656,36
2018-01,STA.03.2301,18.181022880215345,37
2018-02,STA.03.2301,29.95827123695976,37
2018-03,STA.03.2301,28.77327935222672,37
2018-04,STA.03.2301,20.124118476727787,37
2018-05,STA.03.2301,18.47071742313324,37
2018-06,STA.03.2301,15.233893557422968,37
2018-07,STA.03.2301,16.368279569892472,37
2018-08,STA.03.2301,16.77755376344086,37
2018-09,STA.03.2301,15.729805013927576,37
2018-10,STA.03.2301,27.78494623655914,37
2018-11,STA.03.2301,25.7,37
2018-12,STA.03.2301,18.817204301075268,37
2018-01,STA.03.2302,20.48170731707317,38
2018-02,STA.03.2302,33.695684523809526,38
2018-03,STA.03.2302,33.036388140161726,38
2018-04,STA.03.2302,24.690277777777776,38
2018-05,STA.03.2302,21.619594594594595,38
2018-06,STA.03.2302,18.39804469273743,38
2018-07,STA.03.2302,19.59072580645161,38
2018-08,STA.03.2302,15.761517615176151,38
2018-09,STA.03.2302,16.053472222222222,38
2018-10,STA.03.2302,28.92654986522911,38
2018-11,STA.03.2302,26.74513888888889,38
2018-12,STA.03.2302,20.220647773279357,38
2018-01,STA.03.2401,18.30323450134771,39
2018-02,STA.03.2401,28.162444113263785,39
2018-03,STA.03.2401,27.59152086137281,39
2018-04,STA.03.2401,19.20625,39
2018-05,STA.03.2401,18.7907133243607,39
2018-06,STA.03.2401,15.54375,39
2018-07,STA.03.2401,16.928667563930013,39
2018-08,STA.03.2401,17.093949044585987,39
2018-09,STA.03.2401,15.865277777777775,39
2018-10,STA.03.2401,28.27815934065934,39
2018-11,STA.03.2401,28.07510431154381,39
2018-12,STA.03.2401,24.74764468371467,39
2018-01,STA.03.2501,18.008736559139784,40
2018-02,STA.03.2501,27.49402985074627,40
2018-03,STA.03.2501,25.421370967741936,40
2018-04,STA.03.2501,18.94097222222222,40
2018-05,STA.03.2501,18.240136054421768,40
2018-06,STA.03.2501,16.55625,40
2018-07,STA.03.2501,17.82763337893297,40
2018-08,STA.03.2501,12.153571428571428,40
2018-09,STA.03.2501,9.168478260869565,40
2018-10,STA.03.2501,22.914073071718537,40
2018-11,STA.03.2501,25.64175977653631,40
2018-12,STA.03.2501,21.65410497981157,40
2018-01,STA.03.2604,15.826145552560646,41
2018-02,STA.03.2604,25.176382660687597,41
2018-03,STA.03.2604,24.8225371120108,41
2018-04,STA.03.2604,15.614583333333334,41
2018-05,STA.03.2604,13.972108843537416,41
2018-06,STA.03.2604,12.842877094972067,41
2018-07,STA.03.2604,13.546684709066303,41
2018-08,STA.03.2604,12.267881241565451,41
2018-09,STA.03.2604,9.422222222222222,41
2018-10,STA.03.2604,17.77027027027027,41
2018-11,STA.03.2604,18.855337078651687,41
2018-12,STA.03.2604,16.567204301075268,41
2018-01,STA.03.2701,20.303091397849464,42
2018-02,STA.03.2701,30.274217585692995,42
2018-03,STA.03.2701,28.537061994609164,42
2018-04,STA.03.2701,19.884722222222223,42
2018-05,STA.03.2701,19.876344086021504,42
2018-06,STA.03.2701,15.259027777777778,42
2018-07,STA.03.2701,15.51171875,42
2018-08,STA.03.2701,16.559310344827587,42
2018-09,STA.03.2701,16.80625,42
2018-10,STA.03.2701,29.81048387096774,42
2018-11,STA.03.2701,29.075,42
2018-12,STA.03.2701,21.40793010752688,42
2018-01,STA.03.2702,21.98819444444445,43
2018-02,STA.03.2702,30.44242424242424,43
2018-03,STA.03.2702,31.89487870619946,43
2018-04,STA.03.2702,23.565277777777776,43
2018-05,STA.03.2702,21.020188425302827,43
2018-06,STA.03.2702,17.3643949930459,43
2018-07,STA.03.2702,18.61673414304993,43
2018-08,STA.03.2702,20.44018817204301,43
2018-09,STA.03.2702,18.456189151599443,43
2018-10,STA.03.2702,31.790994623655912,43
2018-11,STA.03.2702,31.07192737430168,43
2018-12,STA.03.2702,22.821668909825032,43
2018-01,STA.04.S125,11.88258243385135,45
2018-02,STA.04.S125,23.790454531546548,45
2018-03,STA.04.S125,25.275899091361183,45
2018-04,STA.04.S125,14.722474954728034,45
2018-05,STA.04.S125,12.590168860244235,45
2018-06,STA.04.S125,10.222591687248604,45
2018-07,STA.04.S125,11.870724641653116,45
2018-08,STA.04.S125,11.848834777682928,45
2018-09,STA.04.S125,14.030599536652776,45
2018-10,STA.04.S125,16.178813147513512,45
2018-11,STA.04.S125,14.880459538587411,45
2018-12,STA.04.S125,10.433430132930107,45
2018-01,STA.04.S156,12.096329186562924,46
2018-02,STA.04.S156,22.098436079699248,46
2018-03,STA.04.S156,21.19601870793801,46
2018-04,STA.04.S156,13.240924587238494,46
2018-05,STA.04.S156,12.8225150405954,46
2018-06,STA.04.S156,10.519539464424344,46
2018-07,STA.04.S156,18.23421938766764,46
2018-08,STA.04.S156,17.248250751746248,46
2018-09,STA.04.S156,17.08816475076923,46
2018-10,STA.04.S156,26.66810902085135,46
2018-11,STA.04.S156,23.972281232016808,46
2018-12,STA.04.S156,17.97523159997264,46
2018-01,STA.04.S173,15.494482420970352,48
2018-02,STA.04.S173,26.078884168850745,48
2018-03,STA.04.S173,25.24465474932433,48
2018-04,STA.04.S173,18.79677183361613,48
2018-05,STA.04.S173,17.893886847526883,48
