Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Serbia,2023.0,SPO-RS0039A_00001_100,RS0039A,20.93168,44.65234,147.0,suburban,background,STA-RS0039A
Serbia,2023.0,SPO-RS0041A_00001_100,RS0041A,19.89901,44.27305,181.0,urban,background,STA-RS0041A
Serbia,2023.0,SPO-RS0043A_00001_100,RS0043A,20.92503,44.01157,175.0,urban,background,STA-RS0043A
Serbia,2023.0,SPO-RS0045A_00001_100,RS0045A,20.34551,43.89316,242.0,suburban,background,STA-RS0045A
Sweden,2024.0,SPO-SE0001A_00001_100,SE0001A,13.00196,55.60639,25.0,urban,background,STA-SE0001A
Sweden,2024.0,SPO-SE0053A_00001_100,SE0053A,12.69127,56.04727,25.0,urban,background,STA-SE0053A
Sweden,2024.0,SPO-SE0054A_00001_100,SE0054A,13.20084,55.70083,60.0,urban,background,STA-SE0054A
Sweden,2024.0,SPO-SE0056A_00005_101,SE0056A,12.83364,55.87743,10.0,urban,traffic,STA-SE0056A
Sweden,2024.0,SPO-SE0058A_00005_100,SE0058A,13.00623,55.58475,11.0,urban,traffic,STA-SE0058A
Sweden,2024.0,SPO-SE0085A_00005_100,SE0085A,12.69163,56.04718,3.0,urban,traffic,STA-SE0085A
Sweden,2024.0,SPO-SE0094A_00007_100,SE0094A,13.006,55.5844,11.0,urban,traffic,STA-SE0094A
Sweden,2024.0,SPO-SE0096A_00007_100,SE0096A,13.008,55.59409,20.0,urban,traffic,STA-SE0096A
Sweden,2024.0,SPO-SE155531_00001_100,SE155531,13.15746,55.37288,1.7,urban,traffic,STA-SE155531
Sweden,2024.0,SPO-SE20484_00001_100,SE20484,12.8283,55.8685,6.6,urban,background,STA-SE20484
Sweden,2024.0,SPO-SE30310-00008_100,SE30310,12.70938,56.04306,24.8,urban,traffic,STA-SE30310
Sweden,2024.0,SPO-SE35735_00008_100,SE35735,13.07093,55.6319,3.0,urban,traffic,STA-SE35735
Sweden,2024.0,SPO-SE35916_00005_100,SE35916,13.07203,55.63336,6.0,urban,traffic,STA-SE35916
Sweden,2024.0,SPO-SE38350_00005_100,SE38350,13.18028,55.70334,40.0,urban,traffic,STA-SE38350
Sweden,2024.0,SPO-SE01285_00008_100,SE01285,13.50219,59.37836,47.1,urban,traffic,STA-SE01285
Sweden,2024.0,SPO-SE09450_00001_100,SE09450,12.92977,59.13273,60.0,urban,background,STA-SE09450
