Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Austria,2009,SPO.03.2301.1691.1.1,AT32301,15.6325,48.2116,270.0,suburban,Background
Austria,1998,SPO.03.2501.1660.1.1,AT32501,15.6192,48.4086,200.0,urban,Background
Austria,1994,SPO.03.2401.1711.1.1,AT32401,16.255,47.8142,265.0,suburban,Background
Austria,2002,SPO-AT31905_00001_100,AT31905,15.9667,48.3222,182.0,rural,Background
Austria,2010,SPO.03.2701.1680.1.1,AT32701,16.4744,48.145,155.0,suburban,Background
Austria,2007,SPO.04.S108.2565.1.1,AT4S108,14.5747,48.5311,918.0,rural,Background
Austria,2022,SPO.04.S432.67674.1.1,AT4S432,13.6089,47.9739,485.0,Suburban,Industrial
Austria,2024,SPO.05.2002.69037.1.1,AT52002,13.0931,47.6894,450.0,Suburban,Industrial
Austria,2000,SPO-AT72821_00001_100,AT72821,11.692,47.3488,557.0,suburban,Traffic
Austria,1997,SPO-AT90AKA_00001_100,AT90AKA,16.3478,48.2208,270.0,urban,Background
Belgium,1994,SPO-BE0312A_00001_100,BE0312A,3.1512,50.9459,,suburban,Industrial
Belgium,1998,SPO-BETN026_00001_100,BETN026,5.1404,51.0831,,rural,Industrial
Belgium,2010,SPO-BELTS21_00001_100,BELTS21,5.1062,51.0662,28.0,suburban,Industrial
Belgium,2004,SPO-BETB005_00001_100,BETB005,4.3775,50.8407,,urban,Traffic
Belgium,2011,SPO-BEBB104_00001_100,BEBB104,4.3473,50.8514,15.0,urban,Background
Belgium,2002,SPO-BETMEU1_00001_100,BETMEU1,4.3957,50.895,34.0,suburban,Background
Belgium,2012,SPO-BETB008_00001_100,BETB008,4.3759,50.8409,57.0,urban,Traffic
Belgium,1997,SPO-BETB011_00001_100,BETB011,4.2887,50.8578,66.0,suburban,Background
Belgium,1994,SPO-BETN025_00001_100,BETN025,5.0914,51.0645,,suburban,Industrial
Belgium,1991,SPO-BETN043_00001_100,BETN043,4.383,50.8837,17.0,suburban,Industrial
Belgium,2010,SPO-BETWOL1_00001_100,BETWOL1,4.4258,50.8567,78.0,suburban,Traffic
Belgium,2004,SPO-BETR001_00001_100,BETR001,4.3341,50.8497,20.0,urban,Traffic
Belgium,2001,SPO-BETR012_00001_100,BETR012,4.3586,50.7966,101.0,suburban,Background
Belgium,2009,SPO-BETR002_00001_100,BETR002,4.3846,50.8251,76.0,suburban,Traffic
Belgium,2012,SPO-BEBR112_00001_100,BEBR112,4.3573,50.7972,100.0,suburban,Background
Belgium,2006,SPO-BELHB23_00001_100,BELHB23,4.341,51.1703,13.0,suburban,Background
Belgium,2009,SPO-BEBMEU1_00001_100,BEBMEU1,4.3915,50.8956,50.0,suburban,Background
Belgium,2012,SPO-BELBE06_00001_100,BELBE06,4.8194,51.3289,,suburban,Industrial
Belgium,2010,SPO-BETR731_00001_100,BETR731,3.7395,51.1247,6.0,suburban,Industrial
Belgium,2012,SPO-BETE812_00001_100,BETE812,5.5377,50.968,82.0,suburban,Industrial
Belgium,2006,SPO-BETM702_00001_100,BETM702,3.7621,51.166,5.0,rural,Industrial
Belgium,2011,SPO-BETR740_00001_100,BETR740,3.8087,51.1501,5.0,rural,Industrial
Belgium,1990,SPO-BETM802_00001_100,BETM802,4.4244,51.261,3.0,urban,Industrial
Belgium,2001,SPO-BETN002_00001_100,BETN002,3.2195,51.3337,,suburban,Traffic
Belgium,2010,SPO-BELGK09_00001_100,BELGK09,5.4928,50.9346,61.0,urban,Industrial
Belgium,1988,SPO-BETN012_00001_100,BETN012,3.3625,51.2546,3.0,rural,Background
Belgium,2005,SPO-BETN045_00001_100,BETN045,5.3684,50.9397,41.0,suburban,Background
Belgium,1985,SPO-BETN015_00001_100,BETN015,4.5901,51.2602,,rural,Background
Belgium,1999,SPO-BETR801_00001_100,BETR801,4.4318,51.2097,6.0,urban,Traffic
Belgium,2007,SPO-BETN016_00001_100,BETN016,5.164,51.2337,30.0,rural,Background
Belgium,1997,SPO-BETN046_00001_100,BETN046,5.6189,50.8823,70.0,rural,Background
Belgium,1999,SPO-BETN027_00001_100,BETN027,5.6067,51.1337,48.0,rural,Background
Belgium,2003,SPO-BETN029_00001_100,BETN029,2.5823,51.0163,2.0,rural,Background
Belgium,2006,SPO-BELTS06_00001_100,BELTS06,5.1643,51.093,,suburban,Background
Belgium,1999,SPO-BETN050_00001_100,BETN050,3.367,50.7526,,suburban,Background
Belgium,1998,SPO-BETN035_00001_100,BETN035,4.8376,50.9775,55.0,suburban,Background
Belgium,2005,SPO-BETN051_00001_100,BETN051,3.9303,50.7989,15.0,rural,Background
Belgium,2009,SPO-BETN052_00001_100,BETN052,3.3225,50.8149,27.0,suburban,Background
Belgium,2008,SPO-BELOB01_00001_100,BELOB01,3.3074,50.9172,44.0,rural,Industrial
Belgium,1992,SPO-BETR811_00001_100,BETR811,4.4914,51.2521,8.0,suburban,Background
Belgium,2002,SPO-BETN054_00001_100,BETN054,5.1032,50.7117,135.0,rural,Background
Belgium,2009,SPO-BELWZ01_00001_100,BELWZ01,5.2422,51.2069,,suburban,Industrial
Belgium,2004,SPO-BELWZ02_00001_100,BELWZ02,5.2215,51.1928,40.0,suburban,Industrial
Belgium,2001,SPO-BETR892_00001_100,BETR892,4.2789,51.263,9.0,suburban,Industrial
Belgium,1992,SPO-BETR815_00001_100,BETR815,4.3322,51.2147,7.0,suburban,Industrial
Belgium,2012,SPO-BETE702_00001_100,BETE702,3.5317,50.814,17.0,rural,Industrial
Belgium,2011,SPO-BETE811_00001_100,BETE811,5.4182,50.8969,59.0,rural,Industrial
Belgium,2001,SPO-BETM705_00001_100,BETM705,3.1524,50.9454,19.0,suburban,Industrial
Belgium,2011,SPO-BETE703_00001_100,BETE703,3.6873,51.1903,0.0,rural,Industrial
Belgium,2002,SPO-BETR750_00001_100,BETR750,3.8229,51.1961,6.0,suburban,Industrial
Belgium,1998,SPO-BETR820_00001_100,BETR820,4.4448,51.3204,11.0,suburban,Background
Belgium,2010,SPO-BETE804_00001_100,BETE804,4.3059,51.282,11.0,suburban,Background
Belgium,1993,SPO-BETR701_00001_100,BETR701,3.7293,51.0583,5.0,urban,Background
Belgium,2012,SPO-BETR893_00001_100,BETR893,4.3858,51.2814,6.0,suburban,Industrial
Belgium,2005,SPO-BELTS07_00001_100,BELTS07,5.1081,51.0697,,suburban,Industrial
Belgium,2009,SPO-BELTS20_00001_100,BELTS20,5.1062,51.0662,28.0,suburban,Industrial
Belgium,2005,SPO-BETR897_00001_100,BETR897,4.3421,51.2501,5.0,suburban,Industrial
Belgium,2005,SPO-BETN063_00001_100,BETN063,4.6683,50.6554,145.0,rural,Background
Belgium,1994,SPO-BETR010_00001_100,BETR010,4.4284,50.8651,68.0,suburban,Background
Belgium,1995,SPO-BETR721_00001_100,BETR721,3.7161,51.089,6.0,suburban,Industrial
Belgium,2002,SPO-BETR830_00001_100,BETR830,4.2626,51.3182,5.0,rural,Industrial
Belgium,1988,SPO-BETR832_00001_100,BETR832,4.3523,51.081,,suburban,Industrial
Belgium,1989,SPO-BETR020_00001_100,BETR020,4.4367,50.9414,12.0,suburban,Traffic
Belgium,2004,SPO-BETR891_00001_100,BETR891,4.3854,51.2558,6.0,suburban,Industrial
Belgium,1988,SPO-BETR821_00001_100,BETR821,4.2503,51.2155,,suburban,Background
Belgium,1994,SPO-BETN066_00001_100,BETN066,6.0023,50.6289,295.0,rural,Background
Belgium,1987,SPO-BETM204_00001_100,BETM204,5.6112,50.6119,70.0,suburban,Background
Belgium,1997,SPO-BETR831_00001_100,BETR831,4.3397,51.3488,3.0,suburban,Industrial
Belgium,2010,SPO-BETE701_00001_100,BETE701,3.4058,50.8325,24.0,suburban,Industrial
Belgium,2001,SPO-BETN121_00001_100,BETN121,5.2024,49.8771,430.0,rural,Background
Belgium,2010,SPO-BETE810_00001_100,BETE810,4.3059,51.2819,11.0,suburban,Industrial
Belgium,2012,SPO-BETR894_00001_100,BETR894,4.3482,51.284,7.0,suburban,Industrial
Belgium,2007,SPO-BETH201_00001_100,BETH201,5.5475,50.625,160.0,suburban,Background
Belgium,1990,SPO-BETR710_00001_100,BETR710,3.7753,51.0613,6.0,suburban,Background
