Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
France,2025,SPO-FR27003_7,FR27003,4.7665,45.4545,152.0,Suburban,Background,STA-FR27003
France,2024,SPO-FR20017_7,FR20017,4.8298,45.7353,172.0,Urban,Background,STA-FR20017
France,2024,SPO-FR14051_7,FR14051,4.7192,49.7453,160.0,Urban,Background,STA-FR14051
France,2024,SPO-FR35004_7,FR35004,1.5373,45.1587,121.0,Urban,Background,STA-FR35004
France,2025,SPO-FR19082_7,FR19082,-2.0027,48.6531,5.0,Suburban,Background,STA-FR19082
France,2025,SPO-FR31033_7,FR31033,0.7272,45.1898,142.0,Urban,Background,STA-FR31033
France,2024,SPO-FR04063_7,FR04063,1.7033,48.9964,32.0,Suburban,Background,STA-FR04063
France,2024,SPO-FR34038_7,FR34038,2.6101,46.8147,182.0,Rural,Background,STA-FR34038
France,2025,SPO-FR14010_7,FR14010,4.0511,49.2822,91.0,Suburban,Background,STA-FR14010
France,2025,SPO-FR34061_7,FR34061,1.3027,47.5943,118.0,Urban,Background,STA-FR34061
France,2025,SPO-FR05090_7,FR05090,0.1006,49.5147,92.0,Urban,Background,STA-FR05090
France,2024,SPO-FR04319_7,FR04319,2.5753,48.9556,65.0,Suburban,Background,STA-FR04319
France,2024,SPO-FR31002_7,FR31002,-0.5894,44.8005,20.0,Urban,Background,STA-FR31002
France,2024,SPO-FR14029_7,FR14029,4.5948,48.7266,101.0,Suburban,Background,STA-FR14029
France,2024,SPO-FR01021_7,FR01021,6.2014,49.3944,151.0,Suburban,Background,STA-FR01021
France,2025,SPO-FR31010_7,FR31010,-0.5339,45.0148,3.0,Suburban,Background,STA-FR31010
France,2024,SPO-FR21021_7,FR21021,0.2272,49.1472,56.0,Urban,Background,STA-FR21021
France,2025,SPO-FR09404_7,FR09404,0.3456,46.584,110.0,Urban,Background,STA-FR09404
France,2024,SPO-FR31007_7,FR31007,-0.5158,44.9003,36.0,Urban,Background,STA-FR31007
France,2024,SPO-FR36001_7,FR36001,4.8763,44.8702,125.0,Suburban,Background,STA-FR36001
France,2025,SPO-FR33302_7,FR33302,5.8208,46.0722,477.0,Rural,Background,STA-FR33302
France,2024,SPO-FR07054_7,FR07054,3.887,45.039,629.0,Urban,Background,STA-FR07054
France,2024,SPO-FR41001_7,FR41001,8.7357,41.9247,39.0,Urban,Background,STA-FR41001
France,2025,SPO-FR04328_7,FR04328,2.6453,48.3547,127.0,Rural,Background,STA-FR04328
France,2024,SPO-FR41002_7,FR41002,9.4464,42.6979,60.0,Urban,Background,STA-FR41002
France,2025,SPO-FR82006_7,FR82006,6.0154,47.2474,321.0,Urban,Background,STA-FR82006
France,2025,SPO-FR28010_7,FR28010,2.9,50.4491,31.0,Suburban,Background,STA-FR28010
France,2025,SPO-FR33211_7,FR33211,6.2406,46.1958,441.0,Urban,Background,STA-FR33211
France,2024,SPO-FR25043_7,FR25043,1.099,49.4005,11.0,Urban,Background,STA-FR25043
France,2025,SPO-FR36002_7,FR36002,4.8935,44.9335,125.0,Urban,Background,STA-FR36002
France,2025,SPO-FR31021_7,FR31021,-0.5382,43.3763,123.0,Rural,Background,STA-FR31021
France,2025,SPO-FR30033_7,FR30033,5.7856,49.0658,213.0,Rural,Background,STA-FR30033
France,2024,SPO-FR33101_7,FR33101,5.9283,45.5647,280.0,Urban,Background,STA-FR33101
Greece,2010,SPO-GR0018A_00007_100,GR0018A,22.9453,40.6338,27.0,urban,Traffic,STA-GR0018A
Greece,2001,SPO-GR0110R_00007_100,GR0110R,23.1103,38.3752,110.0,rural,Background,STA-GR0110R
Greece,2009,SPO-GR0044A_00007_100,GR0044A,22.9567,40.6336,55.0,urban,Traffic,STA-GR0044A
Greece,2012,SPO-GR0046A_00007_100,GR0046A,22.8024,40.6578,14.0,urban,Industrial,STA-GR0046A
Greece,2002,SPO-GR0020A_00007_100,GR0020A,22.8934,40.6735,30.0,urban,Industrial,STA-GR0020A
Greece,2009,SPO-GR0047A_00007_100,GR0047A,23.0317,40.5889,363.0,suburban,Background,STA-GR0047A
Greece,2002,SPO-GR0008A_00007_100,GR0008A,21.7384,38.2531,16.0,urban,Traffic,STA-GR0008A
Hungary,2008,SPO-HU0022A_00007_100,HU0022A,19.1842,47.4308,153.0,suburban,Background,STA-HU0022A
Hungary,2015,SPO-HU0002R_00007_500,HU0002R,19.55,46.9667,125.0,Rural,Background,STA-HU0002R
Hungary,2025,SPO-HU0031A_00007_100,HU0031A,18.4208,47.5572,199.0,Urban,Traffic,STA-HU0031A
Hungary,2018,SPO-HU0032A_00007_100,HU0032A,18.92,47.3067,99.0,Suburban,Background,STA-HU0032A
Hungary,2017,SPO-HU0036A_00007_100,HU0036A,18.96,47.5619,265.0,Suburban,Background,STA-HU0036A
Hungary,2007,SPO-HU0025A_00007_100,HU0025A,17.6497,47.6761,101.0,urban,Background,STA-HU0025A
