Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Norway,2020,SPO_NO0075A_6001_614,NO0075A,10.4656,61.1209,212.0,Suburban,Background
Norway,2021,SPO_NO0139A_6001_3143,NO0139A,10.3684,63.4154,106.0,Urban,Traffic
Norway,2017,SPO_NO0109A_6001_2068,NO0109A,5.2369,60.3611,7.0,Suburban,Traffic
Norway,2018,SPO_NO0111A_6001_1693,NO0111A,11.074,59.9555,105.0,Suburban,Traffic
Norway,2017,SPO_NO0099A_6001_1712,NO0099A,10.612,59.9061,12.0,Suburban,Traffic
Norway,2025,SPO_NO0129A_6001_2951,NO0129A,10.9532,59.9286,100.0,Suburban,Traffic
Netherlands,2025,SPO-NL00644_06001_101,NL00644,4.9233,51.9745,0.0,Rural,Background
Norway,2019,SPO_NO0076A_6001_47,NO0076A,5.7279,58.9642,32.0,Suburban,Traffic
North Macedonia,2022,SPO-MK0045A_06001_100,MK0045A,21.6525,41.9874,268.0,Suburban,Industrial
Norway,2022,SPO_NO0127A_6001_2965,NO0127A,16.5374,68.7922,100.0,Suburban,Traffic
Norway,2021,SPO_NO0130A_6001_3001,NO0130A,10.9378,60.8859,141.0,Suburban,Traffic
Norway,2021,SPO_NO0105A_6001_2961,NO0105A,10.9401,59.2102,18.0,Suburban,Background
Poland,2022,SPO_PL0194A_6001_001,PL0194A,17.0293,51.1294,114.0,Urban,Background
Norway,2022,SPO_NO0146A_6001_3146,NO0146A,10.7584,59.9031,5.0,Urban,Background
Norway,2022,SPO_NO0102A_6001_1531,NO0102A,10.3717,63.3576,153.0,Suburban,Traffic
Poland,2023,SPO_PL0505A_6001_001,PL0505A,15.4317,51.3176,179.0,Rural,Background
Norway,2022,SPO_NO0141A_6001_3179,NO0141A,5.7265,58.9726,100.0,Suburban,Background
Norway,2023,SPO_NO0140A_6001_3170,NO0140A,10.736,59.9141,6.0,Urban,Background
Poland,2020,SPO_PL0205A_6001_001,PL0205A,19.0593,52.6585,59.0,Urban,Traffic
Poland,2021,SPO_PL0726A_6001_001,PL0726A,16.5976,51.1662,123.0,Urban,Background
Poland,2019,SPO_PL0734A_6001_001,PL0734A,16.2023,51.0492,201.0,Urban,Background
Poland,2020,SPO_PL0738A_6001_001,PL0738A,16.1838,51.2081,123.0,Urban,Background
Norway,2016,SPO_NO0108A_6001_2070,NO0108A,5.3325,60.4627,95.0,Suburban,Background
Poland,2022,SPO_PL0054A_6001_001,PL0054A,14.9413,50.9722,356.0,Rural,Industrial
Norway,2024,SPO_NO0057A_6001_941,NO0057A,10.8466,59.9277,95.0,Suburban,Traffic
Norway,2023,SPO_NO0011A_6001_23,NO0011A,10.7246,59.9323,61.0,Urban,Traffic
Norway,2025,SPO_NO0151A_6001_4771,NO0151A,11.0968,60.7965,130.0,Urban,Traffic
Norway,2025,SPO_NO0128A_6001_2973,NO0128A,10.4112,59.2637,100.0,Suburban,Traffic
Norway,2024,SPO_NO0084A_6001_1657,NO0084A,10.9453,59.2103,5.0,Suburban,Traffic
Norway,2023,SPO_NO0119A_6001_2702,NO0119A,11.5593,60.8836,187.0,Suburban,Traffic
Norway,2020,SPO_NO0060A_6001_1686,NO0060A,10.3968,63.4175,20.0,Urban,Traffic
Norway,2014,SPO_NO0071A_6001_39,NO0071A,10.8149,59.8986,130.0,Suburban,Traffic
Poland,2018,SPO_PL0190A_6001_001,PL0190A,16.1805,51.2045,122.0,Urban,Background
North Macedonia,2016,SPO-MK0048A_06001_100,MK0048A,21.387,42.006,255.0,Urban,Background
Norway,2020,SPO_NO0118A_6001_2727,NO0118A,9.6219,59.1335,5.0,Suburban,Background
Poland,2024,SPO_PL0072A_6001_001,PL0072A,18.6128,53.0176,59.0,Urban,Traffic
Norway,2020,SPO_NO0132A_6001_3039,NO0132A,10.8247,59.9142,100.0,Suburban,Background
Norway,2020,SPO_NO0104A_6001_1672,NO0104A,11.0978,60.7965,130.0,Suburban,Traffic
Norway,2025,SPO_NO0148A_6001_4722,NO0148A,17.4249,68.4354,33.0,Suburban,Traffic
Norway,2025,SPO_NO0067A_6001_4791,NO0067A,10.2117,59.7333,2.0,Suburban,Traffic
Norway,2019,SPO_NO0113A_6001_2218,NO0113A,17.4249,68.4354,100.0,Urban,Traffic
Norway,2014,SPO_NO0061A_6001_813,NO0061A,9.6357,59.1593,14.0,Suburban,Traffic
Norway,2019,SPO_NO0121A_6001_2889,NO0121A,5.3246,60.2943,35.0,Suburban,Traffic
Norway,2018,SPO_NO0120A_6001_2903,NO0120A,5.3127,60.3959,35.0,Urban,Background
Norway,2022,SPO_NO0134A_6001_3136,NO0134A,8.0238,58.1623,10.0,Suburban,Traffic
North Macedonia,2024,SPO-MK0041A_06001_100,MK0041A,20.9652,41.9976,84.0,Urban,Traffic
Poland,2020,SPO_PL0064A_6001_001,PL0064A,17.9957,53.1341,49.0,Urban,Background
Norway,2022,SPO_NO0136A_6001_3125,NO0136A,10.1444,59.7536,100.0,Suburban,Traffic
Poland,2023,SPO_PL0192A_6001_001,PL0192A,16.2697,50.7687,424.0,Urban,Background
Netherlands,2023,SPO-NL01913_06001_PM2.5_lucht,NL01913,3.8386,51.2794,2.0,Rural,Industrial
Norway,2025,SPO_NO0149A_6001_4710,NO0149A,10.8252,59.9156,88.0,Suburban,Background
North Macedonia,2021,SPO-MK0036A_06001_100,MK0036A,21.7147,42.1356,337.0,Urban,Background
Norway,2023,SPO_NO0142A_6001_3184,NO0142A,10.5759,59.8988,21.0,Suburban,Traffic
Poland,2023,SPO_PL0507A_6001_001,PL0507A,22.5691,51.2594,191.0,Urban,Background
Norway,2024,SPO_NO0063A_6001_3137,NO0063A,7.9918,58.1489,12.0,Urban,Background
Poland,2017,SPO_PL0096A_6001_002,PL0096A,19.5298,51.758,235.0,Urban,Background
Italy,2023,SPO.IT2326A_6001_light-scat_2014-01-01_00:00:00,IT2326A,13.2175,45.8202,7.0,Suburban,Background
France,2023,SPO-FR18045_6001,FR18045,2.8011,49.6967,86.0,Rural,Background
France,2024,SPO-FR82060_6001,FR82060,6.1576,47.62,217.0,Urban,Background
Poland,2014,SPO_PL0079A_6001_001,PL0079A,23.1494,52.0292,144.0,Urban,Background
Poland,2017,SPO_PL0690A_6001_001,PL0690A,19.0519,52.6516,60.0,Suburban,Background
Poland,2013,SPO_PL0077A_6001_001,PL0077A,17.934,53.6621,121.0,Rural,Background
Poland,2018,SPO_PL0071A_6001_002,PL0071A,18.6661,53.0286,64.0,Urban,Background
Poland,2025,SPO_PL0504A_6001_001,PL0504A,16.6537,50.4335,295.0,Urban,Background
North Macedonia,2024,SPO-MK0040A_06001_100,MK0040A,21.7653,41.7058,191.0,Urban,Traffic
Poland,2022,SPO_PL0683A_6001_001,PL0683A,17.5915,53.1367,63.0,Urban,Background
Poland,2015,SPO_PL0542A_6001_001,PL0542A,18.7525,53.4918,29.0,Urban,Background
Poland,2025,SPO_PL0816A_6001_001,PL0816A,18.4288,53.4076,42.0,Urban,Background
Montenegro,2021,SPO-ME0013A_06001_100,ME0013A,19.7424,43.0296,572.0,Urban,Background
Norway,2024,SPO_NO0123A_6001_2963,NO0123A,14.1499,66.3122,100.0,Suburban,Industrial
Poland,2020,SPO_PL0509A_6001_001,PL0509A,19.697,51.4044,180.0,Urban,Background
Poland,2021,SPO_PL0085A_6001_001,PL0085A,22.5517,51.2731,207.0,Urban,Background
Poland,2024,SPO_PL0836A_6001_001,PL0836A,15.9298,51.2743,150.0,Urban,Background
Montenegro,2021,SPO-ME0001A_06001_100,ME0001A,19.3491,43.3572,777.0,Urban,Background
Poland,2021,SPO_PL0585A_6001_001,PL0585A,15.7656,50.9134,345.0,Urban,Background
Poland,2020,SPO_PL0491A_6001_001,PL0491A,18.1321,53.1515,53.0,Suburban,Background
Poland,2019,SPO_PL0744A_6001_001,PL0744A,23.4731,51.1221,192.0,Urban,Background
Poland,2022,SPO_PL0780A_6001_001,PL0780A,18.2279,53.0796,48.0,Urban,Background
Poland,2019,SPO_PL0252A_6001_001,PL0252A,17.9879,53.1218,47.0,Urban,Traffic
